,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350339431,103.8
484776",,,

277,FAIRPRICE @ JURONG POINT 1,2.Retailer E-bin,"1 JURONG WEST CENTRAL 2,JURONG POINT 1,#B1-09",648886,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.339552004,103.7
06685",,,

278,FAIRPRICE @ KAMPUND ADMIRALTY,2.Retailer E-bin,"676 WOODLANDSDR 71, KAMPUND ADMIRALTY,#B1-02",730676,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.439862176,103.8
007268",,,

279,FAIRPRICE @ KANG KAR MALL,2.Retailer E-bin,"100 HOUGANG AVE10, KANG KAR MALL,#01-01/#02-01",538767,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.371977599,103.8
940188",,,

280,FAIRPRICE @ LIMBANG SHOPPING CENTRE,2. Retailer E-bin,"533 CHOA CHUA KANG ST 51, LIMBANG SHOPPING CENTRE, #01-11",680533,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.392030384,103.7
435264",,,

281,FAIRPRICE @ LOT 1 SHOPPERS'MALL,2.Retailer E-bin,"21 CHOA CHU KANG AVE4,LOT 1 SHOPPERS' MALL,#B1-03",689812,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.38493874,103.74
50225",,,

282,FAIRPRICE @ MARSILING MRT,2. Retailer E-bin,"71 WOODLANDSAVE3,MARSLING MRT,#01-01",739044,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.432626035,103.7
740512",,,

283,FAIRPRICE @ NORTHPOINT CITY,2.Retailer E-bin,"1 NORTHPOINT DRIVE, NORTHPOINT CITY,#B2-103 TO 107",768019,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.428470961,103.8
359866",,,

284,FAIRPRICE @ NUH MEDICAL CENTRE,2.Retailer E-bin,"1 LOWER KENT RIDGE RD, NUH MEDICAL CENTRE, #02-16",119082,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.293512877,103.7
846856",,,

285,FAIRPRICE @ OASISTERRACES,2.Retailer E-bin,"681 PUNGGOL DR,OASIS TERRACES,#B1-01",820681,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.402625363,103.9
130299",,,

286,FAIRPRICE @ ORCHARD GRAND COURT,2.Retailer E-bin,"131 KILLINEY RD,ORCHARD GRAND COURT, #01-01/02/03",239571,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.297377769,103.8
384711",,,

287,FAIRPRICE @ OUR TAMPINES HUB,2. Retailer E-bin,"1 TAMPINESWALK,OUR TAMPINES HUB,#B1-01",528523,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.353650647,103.9
40946",,,

288,FAIRPRICE @ PASIR RIS WEST PLAZA,2.Retailer E-bin,"734 PASIR RISST 72,PASIR RISWEST PLAZA, #01-37",510734,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.380129142,103.9
364052",,,

289,FAIRPRICE @ PAYA LEBAR QUARTER,2.Retailer E-bin,"10 PAYA LEBAR RD, PAYA LEBAR QUARTER,#B2-09",409057,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.317506947,103.8
92793",,,

290,FAIRPRICE @ PUNGGOL PLAZA,2. Retailer E-bin,"168 PUNGGOL FIELD RD, PUNGGOL PLAZA, #03-01/02",820168,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.394390359,103.9
127999",,,

291,FAIRPRICE @ RIVERVALE MALL,2.Retailer E-bin,"11 RIVERVALECRESCENT, RIVERVALEMALL,#03-01",545082,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.391950345,103.9
047204",,,

292,FAIRPRICE @ RIVERVALE PLAZA,2.Retailer E-bin,"118 RIVERVALEDR,RIVERVALE PLAZA, #01-08",540118,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.385407076,103.9
027503",,,

293,FAIRPRICE @ SCOTTS SQUARE,2. Retailer E-bin,"6 SCOTTSRD,SCOTTS SQUARE,#B1-03 TO 07 AND #B1-10",228209,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30605151,103.83
30487",,,

294,FAIRPRICE @ SELETAR MALL,2.Retailer E-bin,"33 SENGKANG WEST AVE, SELETAR MALL,#B2-24",797653,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.391181206,103.8
760126",,,

295,FAIRPRICE @ SENJA GRAND,2. Retailer E-bin,"628 SENJA RD,SENJA GRAND,#01-01",670628,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.385096025,103.7
602184",,,

296,FAIRPRICE @ SERANGOON GARDEN VILLAGE,2. Retailer E-bin,"1 MAJU AVE, SERANGOON GARDEN VILLAGE, #B1-11",556679,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.365280606,103.8
651012",,,

297,FAIRPRICE @ SINGPOST CENTRE,2.Retailer E-bin,"10 EUNOS RD 8, SINGPOST CENTRE #B1-101 TO 107",408600,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.318961547,103.8
948672",,,

298,FAIRPRICE @ SQUARE 2,2.Retailer E-bin,"10 SINARAN DR,SQUARE 2, #04-46/47/48/49",307506,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.320650336,103.8
443688",,,

299,FAIRPRICE @ SUNPLAZA,2.Retailer E-bin,"30 SEMBAWANG DRIVE, SUN PLAZA, #B1-01/02",757713,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.44826814,103.81
96904",,,

300,FAIRPRICE @ TAMAN JURONG SHOPPING CENTRE,2. Retailer E-bin,"399 YUNG SHENG RD, TAMAN JURONG SHOPPING CENTRE, #01-35",610399,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334551929,103.7
201674",,,

301,FAIRPRICE @ TAMPINES MALL,2.Retailer E-bin,"4 TAMPINES CENTRAL 5,TAMPINES MALL,#B1-12",529510,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352277947,103.9
444448",,,

302,FAIRPRICE @ TANJONG PAGAR PLAZA,2. Retailer E-bin,"1 TANJONG PAGAR PLAZA,#01-01",82001,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.27625904,103.84
29235",,,

303,FAIRPRICE @ THE CLEMENTI MALL,2. Retailer E-bin,"3155 COMMONWEALTH AVENUEWEST, THE CLEMENTIMALL,#B1-12",129588,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.315653543,103.7
645964",,,

304,FAIRPRICE @ THOMSONPLAZA,2.Retailer E-bin,"301 UPPER THOMSON RD, THOMSON PLAZA, #03-37/38",574408,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.355028857,103.8
310533",,,


305,FAIRPRICE @ WHITE SANDS,2.Retailer E-bin,"1 PASIR RISCENTRAL ST 3, WHITE SANDS,#B1-10",518457,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.372476347,103.9
494493",,,

306,FAIRPRICE @ WISTERIA MALL,2. Retailer E-bin,"598 YISHUN RING RD,WISTERIA MALL,#01-01",768698,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.418338413,103.8
408676",,,

307,FAIRPRICE @ WOODLANDSCIVIC CENTRE,2.Retailer E-bin,"900 SOUTH WOODLANDSDRIVE, WOODLANDSCIVIC CENTRE, #B1-01",730900,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.435056989,103.7
870043",,,

308,FAIRPRICE @ YEWTEE MRT STATION,2.Retailer E-bin,"61 CHOA CHU KANG DR,YEWTEEMRT STATION,#01-01",689715,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.397128863,103.7
473297",,,

309,FAIRPRICE @ YEWTEE POINT,2. Retailer E-bin,"21 CHOACHU KANG NORTH 6,YEWTEE POINT, #B1-01",689578,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.397084324,103.7
46598",,,

310,FAIRPRICE @ YISHUN MRT,2.Retailer E-bin,"301 YISHUN AVE 2,YISHUN MRT STATION,#01-02",769093,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.429323788,103.8
351113",,,

311,FAIRPRICE @ ZHONG SHAN PARK,2. Retailer E-bin,"20 AH HOOD RD,ZHONG SHAN PARK,#02-01",329984,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.327030121,103.8
462339",,,

312,GIANT @ 161 ANG MO KIO AVE 4,2.Retailer E-bin,"161 ANG MO KIO AVE 4,#01-504",560161,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.374277829,103.8
394601",,,

313,GIANT @ BEDOKMARKET PLACE,2. Retailer E-bin,"348 BEDOK ROAD,#01-01",469560,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.331299319,103.9
484307",,,

314,GIANT @ GIANT HYPERMART TAMPINES,2. Retailer E-bin,"21 TAMPINES NORTH DRIVE2,GIANT HYPERMART TAMPINES,#03-01",528765,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.372224562,103.9
320462",,,

315,GIANT @ HOUGANG GREEN SHOPPING MALL,2. Retailer E-bin,"21 HOUGANG ST 51,#01-52",538719,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.37882414,103.88
74911",,,

316,GIANT @ IMM,2. Retailer E-bin,"2 JURONG EAST STREET 21, #01-100",609601,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334157973,103.7
469963",,,

317,GIANT @ LOYANG POINT,2. Retailer E-bin,"259 PASIR RIS ST 21, #01-27",510259,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.366307464,103.9
642897",,,

318,GIANT @ PIONEER MALL,2.Retailer E-bin,"638 JURONG WEST STREET 61,#03-01",640638,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.341535352,103.6
96967",,,

319,GIANT @ SEMBAWANG SHOPPING CENTRE,2.Retailer E-bin,"604 SEMBAWANG ROAD,#B1-25",758459,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.441992018,103.8
252281",,,

320,GIANT @ SUNTEC CITY MALL,2.Retailer E-bin,"3 TEMASEK BOULEVARD,#B1-154",38983,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.295298246,103.8
591894",,,

321,GIANT @ WOODLANDSNORTH PLAZA,2. Retailer E-bin,"883 WOODLANDSSTREET 82, #01-498",730883,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.442873819,103.7
903897",,,

322,LIGHT-PRO FURNISHINGS@ 341 BALESTIER ROAD,2. Retailer E-bin,"341 BALESTIER ROAD,#01-02",329773,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.32421281,103.85
12996",,,

323,MR.DIY @ BOON LAY SHOPPING CENTRE,2.Retailer E-bin,"221 BOON LAY PLACE, BOON LAY SHOPPING COMPLEX, #02-164",640221,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.346499974,103.7
127798",,,

324,MR.DIY @ CENTURY SQUARE,2.Retailer E-bin,"2 TAMPINESCENTRAL 5, CENTURY SQAURE, #04-07 & 04-20/ 21",529509,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352378073,103.9
438567",,,

325,MR.DIY @ DOWNTOWN EAST,2.Retailer E-bin,"1 PASIR RIS CLOSE, E!HUB,#01-103",519599,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.377632447,103.9
547076",,,

326,MR.DIY @ JUNCTION 10,2.Retailer E-bin,"1 WOODLANDSROAD,#02-02 TO 07",677899,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.380509591,103.7
603376",,,

327,MR.DIY @ KALLANG BAHRU,2. Retailer E-bin,"71 KALLANG BAHRU,#01-531",330071,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.321258652,103.8
705099",,,

328,MR.DIY @ KINEX,2.Retailer E-bin,"11 TANJONG KATONG ROAD,KINEX,#03-29 to34",437157,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.314936305,103.8
944398",,,

329,MR.DIY @ LOYANG POINT,2.Retailer E-bin,"259 PASIR RISSTREET 21, #01-27,NEAR GIANT ENTRANCE",510259,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.366283236,103.9
642603",,,

330,MR.DIY @ SEMBAWANG SHOPPING CENTRE,2.Retailer E-bin,"604 SEMBAWANG ROAD,SEMBAWANG SHOPPING CENTRE, #02-20/21",758459,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.441993343,103.8
252322",,,

331,MR.DIY @ TOAPAYOH,2.Retailer E-bin,"192 TOA PAYOH LOR 4,#02-674",310192,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.331751792,103.8
504481",,,

332,MR.DIY @ WESTGATE,2.Retailer E-bin,"3 GATEWAY DRIVE, WESTGATE,#03-46/47/48",608532,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334220047,103.7
425906",,,

333,SHENG SIONG @ 108 MCNAIR,2.Retailer E-bin,"108 MCNAIR RD,#01-295",321108,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.321629877,103.8
596327",,,

334,SHENG SIONG @ 115 BEDOK NORTH,2. Retailer E-bin,"115 BEDOK NORTH ROAD, #01-319",460115,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.331296047,103.9
36479",,,

335,SHENG SIONG @ 122 ANG MO KIO,2. Retailer E-bin,"122 ANG MO KIO AVE 3, #01-1753",560122,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.370188607,103.8
434132",,,

336,SHENG SIONG @ 154A BUKIT BATOKWEST,2. Retailer E-bin,"154ABUKIT BATOK WEST AVE8,#01-01",651154,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.347371802,103.7
436981",,,

337,SHENG SIONG @ 18 TECK WHYE,2.Retailer E-bin,"18 TECK WHYE LANE, #01-95",680018,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.378297688,103.7
540714",,,

338,SHENG SIONG @ 182 WOODLANDS,2. Retailer E-bin,"182 WOODLANDS ST 13, #01-01",730182,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.435158951,103.7
760233",,,

339,SHENG SIONG @ 19 SERANGOON,2. Retailer E-bin,"19 SERANGOON NORTH AVE 5,#01-01",554913,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.375635002,103.8
719964",,,

340,SHENG SIONG @ 200 UPPER THOMSON,2.Retailer E-bin,"200 UPP THOMSON RD,#B1-01",574424,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.351769141,103.8
360677",,,

341,SHENG SIONG @ 200 WOODLANDS INDPARK,2.Retailer E-bin,"200 WOODLANDS INDUSTRIAL PARK E7,#01-30",757177,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.450895656,103.7
970504",,,

342,SHENG SIONG @ 209 NEWUPPER CHANGI RD,2. Retailer E-bin,"209 NEWUPPER CHANGI RD,#01-631,BESIDEMAIN ENTRANCE",460209,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.324635731,103.9
310688",,,

343,SHENG SIONG @ 231 SUMANG LANE,2. Retailer E-bin,"231 SUMANG LANE, #01-02",820231,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.401875238,103.8
922494",,,

344,SHENG SIONG @ 233 ANG MO KIO,2. Retailer E-bin,"233 ANG MO KIO AVE 3, #01-1168",560233,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.36754925,103.83
67406",,,

345,SHENG SIONG @ 25 GHIM MOH,2.Retailer E-bin,"25 GHIM MOH LINK, #01-11",270025,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.308118863,103.7
860494",,,

346,SHENG SIONG @ 258 PASIR RIS,2.Retailer E-bin,"258 PASIR RIS ST 21, #02-10",510258,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.367474418,103.9
649028",,,

347,SHENG SIONG @ 292 BUKIT BATOKEAST AVENUE,2. Retailer E-bin,"292 BUKIT BATOK EAST AVENUE6,#01-02",650292,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.344498105,103.7
553752",,,

348,SHENG SIONG @ 3 YUAN CHING,2.Retailer E-bin,"3 YUAN CHING RD, #01-01A/02",618642,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.325474758,103.7
252471",,,

349,SHENG SIONG @ 301 GEYLANG,2.Retailer E-bin,"301 GEYLANG ROAD,#01-02",389344,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.312786807,103.8
787861",,,

350,SHENG SIONG @ 301 PUNGGOL CENTRAL,2.Retailer E-bin,"301 PUNGGOL CENTRAL,#01-01",820301,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.403756819,103.9
061901",,,

351,SHENG SIONG @ 301 WOODLANDS,2. Retailer E-bin,"301 WOODLANDS ST 31, #01-217",730301,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.43150527,103.77
35157",,,

352,SHENG SIONG @ 351 ANCHORVALEROAD,2.Retailer E-bin,"351 ANCHORVALEROAD,#01-05",540351,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.393163083,103.8
871008",,,

353,SHENG SIONG @ 352 CLEMENTI,2.Retailer E-bin,"352 CLEMENTI AVE2,#01-91",120352,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.314278602,103.7
713506",,,

354,SHENG SIONG @ 4 LOR 7 TOA PAYOH,2.Retailer E-bin,"4 LORONG 7 TOAPAYOH,#01-107",310004,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.339013747,103.8
552592",,,

355,SHENG SIONG @ 4 WOODLANDS,2.Retailer E-bin,"4 WOODLANDS STREET 12, #02-61",738623,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.433512535,103.7
797469",,,


356,SHENG SIONG @ 420A CLEMENTI,2. Retailer E-bin,"420A CLEMENTIAVE1,#01-01",121420,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.309791021,103.7
686577",,,

357,SHENG SIONG @ 455 SENGKANG,2.Retailer E-bin,"455 SENGKANG WEST AVENUE, #01-16",790455,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.392064206,103.8
712166",,,

358,SHENG SIONG @ 506 TAMPINES,2. Retailer E-bin,"506 TAMPINES CENTRAL 1,#01-361",520506,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.356082822,103.9
459313",,,

359,SHENG SIONG @ 52 CHINSWEE,2. Retailer E-bin,"52 CHIN SWEE RD, #01-25",160052,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.287082783,103.8
415801",,,

360,SHENG SIONG @ 539A BEDOKNORTH,2.Retailer E-bin,"539A BEDOKNORTH ST 3,#01-477",461539,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332287699,103.9
25651",,,

361,SHENG SIONG @ 544 JURONG WEST,2.Retailer E-bin,"544 JURONG WEST ST 42, #01-97",640544,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352393583,103.7
157595",,,

362,SHENG SIONG @ 573 WOODLANDS,2. Retailer E-bin,"573 WOODLANDS DRIVE 16,#02-01",730573,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.431098072,103.7
985076",,,

363,SHENG SIONG @ 61 TEBAN GARDENSRD,2. Retailer E-bin,"61 TEBAN GARDENS RD, #01-21",600061,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.32237497,103.73
84128",,,

364,SHENG SIONG @ 623 ELIAS MALL,2.Retailer E-bin,"623 ELIASROAD,#B1-01",510623,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.377816445,103.9
422036",,,

365,SHENG SIONG @ 675 YISHUN,2.Retailer E-bin,"675 YISHUN AVENUE4,#01-10",760675,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.420450438,103.8
435768",,,

366,SHENG SIONG @ 7 JURONG WEST,2.Retailer E-bin,"7 JURONG WEST AVE 5, #01-01",649486,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.348784897,103.7
034157",,,

367,SHENG SIONG @ 739A BEDOKRESERVOIR,2. Retailer E-bin,"739A BEDOK RESERVOIR RD, #01-01",471739,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.338030395,103.9
233314",,,

368,SHENG SIONG @ 785E WOODLANDS,2. Retailer E-bin,"785EWOODLANDS RISE, #01-01",735785,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.446804139,103.8
054876",,,

369,SHENG SIONG @ 845 YISHUN,2.Retailer E-bin,"845 YISHUN STREET 81,#01-184",760845,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.415935695,103.8
351324",,,

370,SHENG SIONG @ 88 TANGLINHALT,2. Retailer E-bin,"88 TANGLIN HALT ROAD,#01-10",141088,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.301785064,103.7
982264",,,

371,SHENG SIONG @ 925 YISHUNCENTRAL,2.Retailer E-bin,"925 YISHUN CENTRAL 1, #01-211",760925,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.426970742,103.8
367179",,,

